Mode,Month,State,Load Port,Species,End Use,Country, Quantity ,Year
Sea,Jan,WA,Fremantle,Cattle,Feeder,Vietnam," 6,096 ",2016
Sea,Jan,WA,Fremantle,Cattle,Slaughter,Malaysia," 2,200 ",2016
Air,Jan,WA,Perth,Sheep,Slaughter,Malaysia, 134 ,2016
Sea,Jan,QLD,Townsville,Cattle,Slaughter,Vietnam," 2,847 ",2016
Air,Jan,WA,Perth,Sheep,Slaughter,Malaysia, 136 ,2016
Air,Jan,SA,Adelaide,Sheep,Slaughter,Malaysia, 151 ,2016
Air,Jan,WA,Perth,Sheep,Slaughter,Malaysia, 162 ,2016
Air,Jan,NSW,Sydney,Goats,Breeder,Philippines, 128 ,2016
Sea,Jan,QLD,Townsville,Cattle,Slaughter,Vietnam," 2,792 ",2016
Air,Jan,SA,Adelaide,Goats,Slaughter,Malaysia, 120 ,2016
Sea,Jan,WA,Fremantle,Cattle,Slaughter,Vietnam," 5,610 ",2016
Air,Jan,WA,Perth,Sheep,Slaughter,Malaysia, 154 ,2016
Sea,Jan,NT,Darwin,Cattle,Feeder,Indonesia," 3,167 ",2016
Sea,Jan,QLD,Townsville,Cattle,Slaughter,Vietnam," 2,023 ",2016
Sea,Jan,WA,Fremantle,Cattle,Feeder,Turkey," 6,951 ",2016
Sea,Jan,NT,Darwin,Cattle,Slaughter,Vietnam," 1,350 ",2016
Sea,Jan,WA,Geraldton,Cattle,Slaughter,Vietnam," 2,063 ",2016
Air,Jan,WA,Perth,Sheep,Slaughter,Malaysia, 144 ,2016
Sea,Jan,QLD,Townsville,Cattle,Feeder,Indonesia," 3,822 ",2016
Sea,Jan,WA,Fremantle,Cattle,Feeder,Indonesia," 1,886 ",2016
Air,Jan,WA,Perth,Sheep,Slaughter,Malaysia, 147 ,2016
Sea,Jan,WA,Fremantle,Cattle,Feeder,Indonesia," 9,820 ",2016
Sea,Jan,WA,Fremantle,Cattle,Slaughter,Vietnam," 7,839 ",2016
Air,Jan,WA,Perth,Sheep,Slaughter,Malaysia, 165 ,2016
Air,Jan,VIC,Melbourne,Alpacas,Breeder,New Zealand, 18 ,2016
Air,Jan,SA,Adelaide,Goats,Slaughter,Malaysia," 1,236 ",2016
Air,Jan,SA,Adelaide,Sheep,Slaughter,Malaysia, 947 ,2016
Sea,Jan,NT,Darwin,Cattle,Feeder,Indonesia," 2,559 ",2016
Air,Jan,WA,Perth,Sheep,Slaughter,Malaysia, 165 ,2016
Sea,Jan,VIC,Portland,Cattle,Feeder,Israel," 4,147 ",2016
Sea,Jan,VIC,Portland,Cattle,Feeder,Russia," 8,078 ",2016
Air,Jan,WA,Perth,Sheep,Slaughter,Malaysia, 142 ,2016
Sea,Jan,NT,Darwin,Cattle,Feeder,Indonesia," 3,082 ",2016
Sea,Jan,NT,Darwin,Cattle,Feeder,Indonesia," 3,086 ",2016
Sea,Jan,SA,Port Adelaide,Sheep,Slaughter,Qatar," 45,000 ",2016
Sea,Jan,SA,Port Adelaide,Sheep,Slaughter,Kuwait," 6,451 ",2016
Sea,Jan,QLD,Townsville,Cattle,Feeder,Indonesia," 4,000 ",2016
Air,Jan,WA,Perth,Sheep,Slaughter,Malaysia, 165 ,2016
Air,Jan,SA,Adelaide,Goats,Slaughter,Malaysia, 124 ,2016
Air,Jan,NSW,Sydney,Goats,Slaughter,Malaysia, 671 ,2016
Sea,Jan,QLD,Brisbane,Cattle,Feeder,Japan," 1,080 ",2016
Air,Jan,NSW,Sydney,Cattle,Breeder,Malaysia, 99 ,2016
Air,Jan,NSW,Sydney,Goats,Breeder,Malaysia, 12 ,2016
Sea,Jan,NT,Darwin,Cattle,Feeder,Indonesia," 3,111 ",2016
Sea,Jan,WA,Fremantle,Cattle,Feeder,Israel," 3,360 ",2016
Sea,Jan,WA,Fremantle,Sheep,Feeder,Israel," 5,898 ",2016
Sea,Jan,WA,Fremantle,Cattle,Feeder,Russia," 1,922 ",2016
Air,Jan,SA,Adelaide,Goats,Slaughter,Malaysia," 1,510 ",2016
Air,Jan,SA,Adelaide,Sheep,Slaughter,Malaysia, 541 ,2016
Air,Jan,SA,Adelaide,Cattle,Slaughter,Malaysia, 20 ,2016
Air,Jan,SA,Adelaide,Alpacas,Breeder,Malaysia, 13 ,2016
Sea,Jan,WA,Fremantle,Cattle,Slaughter,Qatar, 100 ,2016
Sea,Jan,WA,Fremantle,Sheep,Slaughter,Qatar," 9,000 ",2016
Sea,Jan,WA,Fremantle,Sheep,Slaughter,Kuwait," 27,184 ",2016
Air,Jan,WA,Perth,Sheep,Slaughter,Malaysia, 165 ,2016
Sea,Jan,NT,Darwin,Cattle,Feeder,Indonesia," 2,025 ",2016
Air,Jan,WA,Perth,Sheep,Slaughter,Malaysia, 140 ,2016
Air,Jan,SA,Adelaide,Goats,Slaughter,Malaysia," 1,374 ",2016
Air,Jan,SA,Adelaide,Sheep,Slaughter,Malaysia, 699 ,2016
Air,Jan,NSW,Sydney,Goats,Breeder,Nepal, 30 ,2016
Air,Jan,NSW,Sydney,Sheep,Breeder,Uruguay, 23 ,2016
Sea,Jan,QLD,Townsville,Cattle,Feeder,Indonesia," 2,887 ",2016
Air,Jan,WA,Perth,Sheep,Slaughter,Malaysia, 165 ,2016
Sea,Jan,WA,Fremantle,Cattle,Feeder,Indonesia," 2,880 ",2016
Sea,Jan,NT,Darwin,Cattle,Slaughter,Vietnam," 1,250 ",2016
Air,Jan,NSW,Sydney,Goats,Breeder,Nepal, 16 ,2016
Sea,Jan,WA,Fremantle,Cattle,Slaughter,Malaysia, 683 ,2016
Sea,Jan,WA,Fremantle,Sheep,Slaughter,Malaysia," 2,989 ",2016
Sea,Jan,WA,Fremantle,Sheep,Breeder,Malaysia, 363 ,2016
Sea,Jan,QLD,Townsville,Cattle,Feeder,Indonesia," 4,094 ",2016
Sea,Jan,QLD,Townsville,Cattle,Feeder,Indonesia," 3,836 ",2016
Air,Feb,WA,Perth,Sheep,Slaughter,Malaysia, 165 ,2016
Sea,Feb,QLD,Townsville,Cattle,Feeder,Indonesia," 4,110 ",2016
Sea,Feb,SA,Port Adelaide,Cattle,Slaughter,Vietnam," 4,604 ",2016
Sea,Feb,SA,Port Adelaide,Cattle,Slaughter,Vietnam," 1,758 ",2016
Air,Feb,WA,Perth,Sheep,Slaughter,Malaysia, 165 ,2016
Sea,Feb,NT,Darwin,Cattle,Feeder,Indonesia," 3,156 ",2016
Air,Feb,NSW,Sydney,Goats,Slaughter,United Arab Emirates," 1,050 ",2016
Air,Feb,NSW,Sydney,Goats,Slaughter,Malaysia, 820 ,2016
Air,Feb,NSW,Sydney,Sheep,Slaughter,Malaysia, 85 ,2016
Air,Feb,NSW,Sydney,Cattle,Breeder,Vietnam, 5 ,2016
Air,Feb,WA,Perth,Sheep,Slaughter,Malaysia, 100 ,2016
Sea,Feb,NT,Darwin,Cattle,Feeder,Indonesia," 3,195 ",2016
Sea,Feb,VIC,Portland,Cattle,Breeder,China," 5,140 ",2016
Sea,Feb,QLD,Townsville,Cattle,Feeder,Indonesia," 3,000 ",2016
Air,Feb,NSW,Sydney,Sheep,Breeder,Uruguay, 6 ,2016
Sea,Feb,QLD,Townsville,Cattle,Slaughter,Vietnam," 2,982 ",2016
Air,Feb,WA,Perth,Sheep,Slaughter,Malaysia, 158 ,2016
Sea,Feb,QLD,Townsville,Cattle,Feeder,Indonesia," 6,282 ",2016
Air,Feb,SA,Adelaide,Goats,Slaughter,Malaysia, 120 ,2016
Sea,Feb,QLD,Karumba,Cattle,Feeder,Indonesia," 1,976 ",2016
Air,Feb,WA,Perth,Sheep,Slaughter,Malaysia, 140 ,2016
Sea,Feb,WA,Fremantle,Cattle,Slaughter,Vietnam," 2,038 ",2016
Sea,Feb,VIC,Portland,Sheep,Slaughter,Kuwait," 23,161 ",2016
Sea,Feb,VIC,Portland,Sheep,Slaughter,United Arab Emirates," 9,523 ",2016
Sea,Feb,VIC,Portland,Sheep,Slaughter,Oman," 5,800 ",2016
Sea,Feb,VIC,Portland,Cattle,Breeder,Kuwait, 230 ,2016
Air,Feb,WA,Perth,Sheep,Slaughter,Malaysia, 110 ,2016
Air,Feb,SA,Adelaide,Goats,Slaughter,Malaysia," 1,599 ",2016
Air,Feb,SA,Adelaide,Sheep,Slaughter,Malaysia, 644 ,2016
Air,Feb,WA,Perth,Sheep,Slaughter,Malaysia, 106 ,2016
Air,Feb,WA,Perth,Goats,Slaughter,Malaysia, 100 ,2016
Air,Feb,WA,Perth,Sheep,Slaughter,Malaysia, 140 ,2016
Air,Feb,VIC,Melbourne,Cattle,Breeder,Malaysia, 36 ,2016
Air,Feb,VIC,Melbourne,Goats,Slaughter,Malaysia, 522 ,2016
