Mode,Month,Origin Country,Origin Latitude,Origin Longitude,State,Load Port,Species,End Use,Destination Country,Destination Latitude,Destination Longitude,Quantity,Year
Sea,Jan,Australia,-25.274398,133.775136,WA,Fremantle,Cattle,Feeder,Vietnam,14.058324,108.277199,"6,096",2016
Sea,Jan,Australia,-25.274398,133.775136,WA,Fremantle,Cattle,Slaughter,Malaysia,4.210484,101.975766,"2,200",2016
Air,Jan,Australia,-25.274398,133.775136,WA,Perth,Sheep,Slaughter,Malaysia,4.210484,101.975766,134,2016
Sea,Jan,Australia,-25.274398,133.775136,QLD,Townsville,Cattle,Slaughter,Vietnam,14.058324,108.277199,"2,847",2016
Air,Jan,Australia,-25.274398,133.775136,WA,Perth,Sheep,Slaughter,Malaysia,4.210484,101.975766,136,2016
Air,Jan,Australia,-25.274398,133.775136,SA,Adelaide,Sheep,Slaughter,Malaysia,4.210484,101.975766,151,2016
Air,Jan,Australia,-25.274398,133.775136,WA,Perth,Sheep,Slaughter,Malaysia,4.210484,101.975766,162,2016
Air,Jan,Australia,-25.274398,133.775136,NSW,Sydney,Goats,Breeder,Philippines,12.879721,121.774017,128,2016
Sea,Jan,Australia,-25.274398,133.775136,QLD,Townsville,Cattle,Slaughter,Vietnam,14.058324,108.277199,"2,792",2016
Air,Jan,Australia,-25.274398,133.775136,SA,Adelaide,Goats,Slaughter,Malaysia,4.210484,101.975766,120,2016
Sea,Jan,Australia,-25.274398,133.775136,WA,Fremantle,Cattle,Slaughter,Vietnam,14.058324,108.277199,"5,610",2016
Air,Jan,Australia,-25.274398,133.775136,WA,Perth,Sheep,Slaughter,Malaysia,4.210484,101.975766,154,2016
Sea,Jan,Australia,-25.274398,133.775136,NT,Darwin,Cattle,Feeder,Indonesia,-0.789275,113.921327,"3,167",2016
Sea,Jan,Australia,-25.274398,133.775136,QLD,Townsville,Cattle,Slaughter,Vietnam,14.058324,108.277199,"2,023",2016
Sea,Jan,Australia,-25.274398,133.775136,WA,Fremantle,Cattle,Feeder,Turkey,38.963745,35.243322,"6,951",2016
Sea,Jan,Australia,-25.274398,133.775136,NT,Darwin,Cattle,Slaughter,Vietnam,14.058324,108.277199,"1,350",2016
Sea,Jan,Australia,-25.274398,133.775136,WA,Geraldton,Cattle,Slaughter,Vietnam,14.058324,108.277199,"2,063",2016
Air,Jan,Australia,-25.274398,133.775136,WA,Perth,Sheep,Slaughter,Malaysia,4.210484,101.975766,144,2016
Sea,Jan,Australia,-25.274398,133.775136,QLD,Townsville,Cattle,Feeder,Indonesia,-0.789275,113.921327,"3,822",2016
Sea,Jan,Australia,-25.274398,133.775136,WA,Fremantle,Cattle,Feeder,Indonesia,-0.789275,113.921327,"1,886",2016
Air,Jan,Australia,-25.274398,133.775136,WA,Perth,Sheep,Slaughter,Malaysia,4.210484,101.975766,147,2016
Sea,Jan,Australia,-25.274398,133.775136,WA,Fremantle,Cattle,Feeder,Indonesia,-0.789275,113.921327,"9,820",2016
Sea,Jan,Australia,-25.274398,133.775136,WA,Fremantle,Cattle,Slaughter,Vietnam,14.058324,108.277199,"7,839",2016
Air,Jan,Australia,-25.274398,133.775136,WA,Perth,Sheep,Slaughter,Malaysia,4.210484,101.975766,165,2016
Air,Jan,Australia,-25.274398,133.775136,VIC,Melbourne,Alpacas,Breeder,New Zealand,-40.900557,174.885971,18,2016
Air,Jan,Australia,-25.274398,133.775136,SA,Adelaide,Goats,Slaughter,Malaysia,4.210484,101.975766,"1,236",2016
Air,Jan,Australia,-25.274398,133.775136,SA,Adelaide,Sheep,Slaughter,Malaysia,4.210484,101.975766,947,2016
Sea,Jan,Australia,-25.274398,133.775136,NT,Darwin,Cattle,Feeder,Indonesia,-0.789275,113.921327,"2,559",2016
